,Date,Spacecraft
172,2001-03-28 08:15:00,ACE
173,2001-03-31 06:23:00,ACE
174,2001-04-02 12:56:00,ACE
175,2001-04-04 01:51:00,ACE
176,2001-04-06 00:22:00,ACE
177,2001-04-07 22:59:00,ACE
178,2001-04-10 02:32:00,ACE
179,2001-04-12 15:28:00,ACE
180,2001-04-17 14:06:00,ACE
181,2001-04-19 19:05:00,ACE
182,2001-04-21 20:08:00,ACE
183,2001-05-04 12:31:00,ACE
184,2001-05-06 16:06:00,ACE
185,2001-05-08 03:50:00,ACE
186,2001-05-11 04:31:42,ACE
187,2001-05-13 05:20:00,ACE
188,2001-05-17 18:06:00,ACE
189,2001-05-20 03:17:00,ACE
190,2001-06-02 04:18:00,ACE
191,2001-06-02 21:48:00,ACE
192,2001-06-06 15:21:00,ACE
193,2001-06-09 03:52:00,ACE
194,2001-07-03 00:54:00,ACE
195,2001-08-03 00:06:00,ACE
196,2001-08-04 08:25:00,ACE
197,2001-08-10 22:55:00,ACE
198,2001-08-16 10:50:00,ACE
199,2001-08-21 15:16:00,ACE
200,2001-08-28 09:19:00,ACE
201,2001-08-31 19:30:56,ACE
202,2001-09-02 23:08:00,ACE
203,2001-09-13 10:40:30,ACE
204,2001-09-14 11:19:00,ACE
205,2001-09-15 22:00:00,ACE
206,2001-09-27 17:05:00,ACE
207,2001-09-29 14:06:00,ACE
208,2001-10-01 10:46:00,ACE
209,2001-10-02 05:30:35,ACE
210,2001-10-03 19:07:07,ACE
211,2001-10-10 10:21:00,ACE
212,2001-10-12 05:20:00,ACE
213,2001-10-18 19:08:25,ACE
214,2001-10-22 10:13:00,ACE
215,2001-10-26 01:01:00,ACE
216,2001-10-28 10:42:00,ACE
217,2001-10-30 05:26:00,ACE
218,2001-10-31 19:54:00,ACE
219,2001-11-05 14:55:00,ACE
220,2001-11-06 11:25:00,ACE
221,2001-11-07 02:10:00,ACE
222,2001-11-11 11:03:00,ACE
223,2001-11-19 06:54:00,ACE
224,2001-11-21 23:35:00,ACE
225,2001-11-28 01:00:00,ACE
226,2001-12-10 13:28:00,ACE
227,2001-12-26 06:18:57,ACE
228,2001-12-29 13:47:00,ACE
229,2002-01-03 01:24:49,ACE
230,2002-01-10 07:26:00,ACE
231,2002-01-13 21:44:00,ACE
232,2002-01-22 10:42:54,ACE
233,2002-01-27 14:35:00,ACE
234,2002-02-01 10:40:00,ACE
235,2002-02-08 12:03:07,ACE
236,2002-02-18 11:09:00,ACE
237,2002-03-08 04:03:00,ACE
238,2002-03-14 16:26:00,ACE
239,2002-03-16 20:27:00,ACE
240,2002-03-19 06:36:00,ACE
241,2002-03-21 07:05:00,ACE
242,2002-03-22 22:23:00,ACE
243,2002-03-24 03:53:00,ACE
244,2002-03-25 14:57:57,ACE
245,2002-03-28 16:22:13,ACE
246,2002-03-30 14:41:00,ACE
247,2002-04-16 17:26:12,ACE
248,2002-04-17 15:21:00,ACE
249,2002-04-19 15:02:00,ACE
250,2002-04-20 10:50:00,ACE
251,2002-05-04 11:15:00,ACE
252,2002-05-10 15:30:00,ACE
253,2002-05-17 19:25:00,ACE
254,2002-05-19 18:19:00,ACE
255,2002-05-20 14:00:00,ACE
256,2002-05-22 09:00:00,ACE
257,2002-05-23 16:15:00,ACE
258,2002-05-28 20:30:05,ACE
259,2002-06-02 12:32:00,ACE
260,2002-06-20 13:29:00,ACE
261,2002-07-04 02:16:00,ACE
262,2002-07-18 21:26:00,ACE
263,2002-07-20 17:50:00,ACE
264,2002-07-25 02:51:00,ACE
265,2002-07-28 02:59:00,ACE
266,2002-07-31 18:40:00,ACE
267,2002-08-01 13:24:00,ACE
268,2002-08-02 07:19:00,ACE
269,2002-08-07 00:33:00,ACE
270,2002-08-18 23:10:00,ACE
271,2002-08-22 18:17:00,ACE
272,2002-09-03 19:41:00,ACE
273,2002-09-06 11:54:00,ACE
274,2002-09-10 22:10:00,ACE
275,2002-09-25 01:55:00,ACE
276,2002-10-01 17:21:00,ACE
277,2002-10-02 15:01:00,ACE
278,2002-10-08 07:14:00,ACE
279,2002-11-02 22:08:07,ACE
280,2002-11-09 07:28:00,ACE
281,2002-11-10 09:54:00,ACE
282,2002-11-12 09:52:00,ACE
283,2002-11-14 03:51:00,ACE
284,2002-11-15 17:46:27,ACE
285,2002-11-17 15:05:00,ACE
286,2002-11-21 22:19:00,ACE
287,2002-11-27 19:10:00,ACE
288,2002-12-16 11:00:00,ACE
289,2002-12-21 18:52:00,ACE
290,2002-12-24 01:16:31,ACE
291,2002-12-25 16:15:00,ACE
292,2003-01-04 08:59:00,ACE
293,2003-02-02 20:40:00,ACE
294,2003-02-22 05:59:00,ACE
295,2003-03-03 01:33:00,ACE
296,2003-03-18 06:20:00,ACE
297,2003-03-28 08:20:00,ACE
298,2003-04-04 22:36:00,ACE
299,2003-04-08 16:15:00,ACE
300,2003-04-14 19:45:00,ACE
301,2003-04-24 00:00:00,ACE
302,2003-04-29 01:30:00,ACE
303,2003-05-04 14:09:00,ACE
304,2003-05-14 00:55:00,ACE
305,2003-05-21 07:05:00,ACE
306,2003-05-22 06:52:00,ACE
307,2003-05-26 16:48:00,ACE
308,2003-05-30 01:30:18,ACE
309,2003-06-01 14:00:00,ACE
310,2003-06-15 22:30:00,ACE
311,2003-06-19 12:45:00,ACE
312,2003-06-21 10:56:00,ACE
313,2003-06-27 21:48:00,ACE
314,2003-07-08 04:24:04,ACE
315,2003-07-18 13:07:00,ACE
316,2003-08-04 03:39:00,ACE
317,2003-08-09 21:11:00,ACE
318,2003-08-17 06:13:00,ACE
319,2003-08-18 04:41:00,ACE
320,2003-09-07 22:03:00,ACE
321,2003-09-21 14:18:00,ACE
322,2003-09-28 23:00:00,ACE
323,2003-10-02 03:07:00,ACE
324,2003-10-04 01:44:00,ACE
325,2003-10-07 04:00:00,ACE
326,2003-10-14 05:37:00,ACE
327,2003-10-24 02:27:00,ACE
328,2003-10-25 06:48:00,ACE
329,2003-10-26 13:09:00,ACE
330,2003-10-27 10:32:00,ACE
331,2003-10-28 10:31:00,ACE
332,2003-10-29 22:58:00,ACE
333,2003-10-31 16:19:00,ACE
334,2003-11-04 19:59:00,ACE
335,2003-11-11 13:19:00,ACE
336,2003-11-16 12:19:00,ACE
337,2003-11-20 16:27:00,ACE
338,2003-11-22 12:16:00,ACE
339,2003-12-05 05:38:00,ACE
340,2003-12-23 21:42:00,ACE
341,2003-12-28 23:10:20,ACE
342,2004-01-02 10:39:00,ACE
343,2004-01-20 22:25:00,ACE
344,2004-01-22 19:05:00,ACE
345,2004-01-24 04:25:00,ACE
346,2004-01-28 02:40:00,ACE
347,2004-03-22 10:10:00,ACE
348,2004-04-06 13:54:39,ACE
349,2004-04-10 05:00:00,ACE
350,2004-04-11 11:30:00,ACE
351,2004-04-22 18:45:00,ACE
352,2004-04-26 06:10:00,ACE
353,2004-05-05 10:17:48,ACE
354,2004-06-23 16:58:50,ACE
355,2004-07-13 05:05:00,ACE
356,2004-07-17 02:05:00,ACE
357,2004-07-17 22:23:44,ACE
358,2004-07-23 19:55:00,ACE
359,2004-07-24 13:45:00,ACE
360,2004-07-27 20:30:00,ACE
361,2004-07-31 14:31:58,ACE
362,2004-08-01 09:49:34,ACE
363,2004-08-30 11:18:02,ACE
364,2004-09-06 07:40:00,ACE
365,2004-09-17 06:40:00,ACE
366,2004-09-24 05:00:00,ACE
367,2004-10-29 14:19:30,ACE
368,2004-11-07 22:55:00,ACE
369,2004-11-09 03:20:16,ACE
370,2004-11-09 23:30:00,ACE
371,2004-11-17 18:44:00,ACE
372,2004-11-24 13:35:43,ACE
373,2004-12-10 08:00:00,ACE
374,2004-12-12 15:57:00,ACE
375,2004-12-29 17:35:00,ACE
376,2005-01-05 02:07:21,ACE
377,2005-01-11 09:42:48,ACE
378,2005-01-12 04:00:00,ACE
379,2005-01-19 06:16:08,ACE
380,2005-02-12 20:45:00,ACE
381,2005-02-26 15:45:00,ACE
382,2005-03-13 07:06:55,ACE
383,2005-04-03 06:37:33,ACE
384,2005-04-21 23:45:00,ACE
385,2005-05-06 00:30:00,ACE
386,2005-05-06 18:03:52,ACE
387,2005-05-07 23:18:48,ACE
388,2005-05-11 23:05:59,ACE
389,2005-05-17 12:05:00,ACE
390,2005-05-28 22:30:00,ACE
391,2005-06-10 17:05:00,ACE
392,2005-06-15 06:55:00,ACE
393,2005-07-01 04:10:00,ACE
394,2005-07-13 04:50:00,ACE
395,2005-07-16 06:50:00,ACE
396,2005-07-29 18:55:00,ACE
397,2005-08-07 05:05:00,ACE
398,2005-08-24 00:38:16,ACE
399,2005-08-24 20:20:00,ACE
400,2005-08-30 05:09:11,ACE
401,2005-09-05 16:50:00,ACE
402,2005-09-10 17:25:00,ACE
403,2005-09-11 06:00:00,ACE
404,2005-09-13 05:05:00,ACE
405,2005-09-18 10:30:00,ACE
406,2005-10-29 22:10:00,ACE
407,2005-12-16 10:30:00,ACE
408,2005-12-31 17:45:57,ACE
409,2006-01-29 00:25:00,ACE
410,2006-04-24 01:12:00,ACE
411,2006-05-08 08:55:00,ACE
412,2006-07-24 08:55:00,ACE
413,2006-07-31 08:57:00,ACE
414,2006-08-13 20:40:00,ACE
415,2006-08-26 13:55:00,ACE
416,2006-09-03 00:35:00,ACE
417,2006-09-12 01:28:00,ACE
418,2006-09-30 19:00:00,ACE
419,2006-10-04 14:00:00,ACE
420,2006-10-17 11:55:25,ACE
421,2006-10-23 04:14:35,ACE
422,2006-11-16 23:23:52,ACE
423,2006-11-29 14:43:00,ACE
424,2006-12-10 20:20:00,ACE
425,2006-12-15 17:00:00,ACE
426,2006-12-17 00:22:00,ACE
