,Date,Spacecraft,Type_stereo,Source_stereo,Type_ipshock,Accept
53,2008-03-08 18:16:32,STA,F,SIR,,0
54,2008-03-09 19:50:07,STA,R,SIR,FR,1
55,2008-03-29 18:12:58,STA,R,SIR,,0
56,2008-04-04 07:41:44,STB,R,SIR,FR,1
57,2008-04-08 07:34:40,STA,R,SIR,,0
58,2008-04-22 20:30:56,STB,,,FR,0
59,2008-04-24 13:06:55,STA,F,SIR,FF,1
60,2008-04-29 14:10:08,STB,F,ICME,FF,1
61,2008-05-11 06:31:09,STA,F,ICME,,0
62,2008-05-19 09:18:42,STA,F_ strong upstream waves,in slow wind,,0
63,2008-05-19 16:39:13,STB,,,FF,0
64,2008-05-19 19:59:10,STB,,,FR,0
65,2008-05-21 00:41:35,STA,F,SIR,,0
66,2008-05-28 01:56:16,STB,,,FR,0
67,2008-06-06 15:35:46,STB,F,ICME,FF,1
68,2008-06-12 21:35:20,STB,F,SIR,FF,1
69,2008-07-05 00:47:53,STA,F,ICME,FF,1
70,2008-07-19 07:28:18,STB,F,SIR,FF,1
71,2008-07-20 22:27:38,STB,F,SIR,FF,1
72,2008-07-21 10:30:40,STB,R_ gradual variation of B,SIR,FR,1
73,2008-08-06 21:17:40,STB,F,SIR,FF,1
74,2008-08-16 01:16:01,STB,F,SIR,,0
75,2008-09-16 13:49:29,STA,F,SIR,FF,1
76,2008-09-17 08:08:21,STA,R,SIR,,0
77,2008-09-29 13:08:02,STB,R_ little change of Tp,SIR,FR,1
78,2008-09-30 22:20:37,STB,R_ plasma signatures,in fast wind,FR,1
79,2008-10-12 17:12:56,STA,F,SIR,FF,1
80,2008-10-26 17:17:21,STA,F,"in slow wind, a small speed increase, Tp decreases a little",FF,1
81,2008-10-31 03:24:55,STA,F,"SIR, 9 hr before ICME",FF,1
82,2008-11-01 07:59:17,STA,R_ Vp increase is not sharp,SIR,,0
83,2008-11-09 00:38:46,STA,F,SIR,FF,1
84,2008-11-21 21:16:58,STB,F,SIR,,0
85,2008-11-22 22:20:28,STA,,,FF,0
86,2008-11-28 16:44:26,STA,F_ strong plasma signatures_ upstream and downstream waves,"SIR, 5 hr before ICME?",FF,1
87,2008-11-30 18:22:49,STB,,,FF,0
88,2008-12-06 05:42:30,STA,F,SIR,FF,1
89,2008-12-07 04:35:30,STB,F,SIR,,0
90,2008-12-15 02:12:22,STB,F,"in slow wind ~ 300 km/s, a small SIR-like structure",,0
91,2008-12-25 09:45:08,STA,F,"in slow wind, a small SIR-like structure",,0
92,2009-01-02 20:08:00,STA,,,FF,0
93,2009-01-25 18:22:52,STA,F_ downstream waves,ICME,FF,1
94,2009-01-31 08:32:19,STA,,,FF,0
95,2009-02-11 10:20:58,STB,R_ upstream waves,SIR,FR,1
96,2009-02-13 10:20:58,STA,F,"slow wind, a small Vp increase, Tp is constant",,0
97,2009-02-14 17:56:00,STA,,,FF,0
98,2009-02-18 01:54:56,STA,R_ downstream waves,SIR,FR,1
99,2009-02-22 12:12:14,STB,F,"in slow wind, 1.5 days before SIR",FF,1
100,2009-03-09 20:17:19,STA,F_ downstream waves,SIR,FF,1
101,2009-03-10 14:47:34,STB,R_ upstream and downstream waves,SIR,FR,1
102,2009-03-14 09:46:30,STB,F_ many waves,a sharp bump in slow wind,FF,1
103,2009-03-24 18:42:17,STB,R_ downstream waves,SIR,,0
104,2009-04-27 21:42:22,STA,F,a small bump in slow wind ~ 300 km/s,,0
105,2009-06-03 17:07:44,STA,F,ICME,FF,1
106,2009-06-05 09:29:49,STB,F,SIR,,0
107,2009-06-19 00:23:34,STB,F,ICME,,0
108,2009-06-30 05:14:45,STA,R,SIR,FR,1
109,2009-07-18 11:35:15,STB,F,SIR,FF,1
110,2009-07-19 02:08:36,STB,R_ upstream waves,SIR,FR,1
111,2009-07-26 14:42:05,STA,F,SIR,,0
112,2009-08-02 16:33:46,STB,,,FF,0
113,2009-08-05 22:35:17,STB,F,ICME,FF,1
114,2009-08-07 05:24:29,STB,R,fast wind (510 km/s) overtaking ICME,FR,1
115,2009-08-30 02:49:50,STB,F,ICME,FF,1
116,2009-08-31 03:40:46,STB,F_ weak downstream wave,a sharp and high bump in ICME,FF,1
117,2009-09-01 11:30:39,STA,,,FF,0
118,2009-09-08 05:30:54,STA,F,SIR,FF,1
119,2009-10-02 15:43:50,STB,F_ plasma signatures_ upstream and downstream waves,ICME,FF,1
120,2009-10-04 17:46:47,STB,R,faster wind (~320 km/s) overtaking ICME,,0
121,2009-10-16 14:56:55,STA,F,ICME,FF,1
122,2009-10-26 11:27:33,STB,F,SIR,FF,1
123,2009-11-03 01:07:55,STB,F_ upstream waves,SIR,,0
124,2009-11-08 15:54:23,STB,F_ upstream waves,a bump in slow wind ~ 330 km/s,FF,1
125,2009-11-26 16:18:56,STB,F_ upstream and downstream waves,"a SIR-like structure including ICME, Vp does not increase monotonically ",,0
126,2009-11-26 23:06:27,STA,F_ weak plasma signatures_ upstream waves,"in slow wind, 12 hrs after SIR",,0
127,2009-12-01 04:09:10,STA,R_ clear plasma signatures ,SIR,,0
128,2009-12-08 23:37:45,STA,F_ clear plasma signatures_ downstream waves ,ICME,,0
129,2009-12-13 19:50:14,STB,R_ clear plasma signatures,SIR,FR,1
130,2009-12-14 06:08:59,STA,F_ clear plasma signatures except no Tp increase_ strong upstream and downstream waves,a small Vp increase in slow wind < 300 km/s,,0
131,2009-12-22 23:51:15,STA,R_ weak plasma signatures_ not a neat B rise,SIR,FR,1
132,2009-12-24 16:17:12,STA,,,FF,0
133,2009-12-31 12:52:31,STA,F_ clear plasma signatures_ upstream waves,SIR,,0
134,2010-02-05 03:33:13,STA,F_ clear plasma signatures_ upstream and downstream waves,ICME+SIR,FF,1
135,2010-02-12 12:43:04,STA,,,FF,0
136,2010-02-13 11:52:15,STB,F_ downstream waves_ plasma signatures,SIR,,0
137,2010-02-14 07:49:55,STB,R_ upstream waves last short_ downstream waves last long_ Tp does not decrease,SIR,FR,1
138,2010-02-15 04:41:31,STA,F_ clear plasma signatures_ downstream waves ,"~ 2 days after a SIR, a bump in slow wind",FF,1
139,2010-02-28 19:49:55,STB,F_ upstream waves_ clear plasma signatures,"in slow wind, 22 hrs before SIR",FF,1
140,2010-03-04 03:51:39,STB,,,FF,0
141,2010-03-05 02:57:25,STA,,,FF,0
142,2010-03-09 04:17:17,STB,F_ B increases gradually; plasma signatures are clear,a bump in the slow wind (360 km/s),,0
143,2010-03-11 08:49:24,STB,R_ downstream waves_ plasma signatures,SIR,FR,1
144,2010-03-11 19:09:23,STA,F_ plasma signatures except slow Tp increase_ upstream waves,SIR,FF,1
145,2010-03-12 08:11:23,STA,,,FR,0
146,2010-03-15 13:39:26,STA,F_ plasma signatures,a big bump in fast wind ~ 700 km/s,FF,1
147,2010-03-20 10:51:22,STB,R_ many upstream waves,SIR,,0
148,2010-04-04 01:10:04,STA,F_ upstream and downstream waves_ clear plasma signatures,SIR,FF,1
149,2010-04-04 13:20:41,STA,,,FR,0
150,2010-04-23 00:34:36,STA,F_ plasma signatures except no Tp increase_ downstream waves,ICME,FF,1
151,2010-04-26 15:02:50,STB,F_ waves at the foot,"a small bump in the slow wind (300 km/s), 20 hrs before SIR",,0
152,2010-04-27 20:06:02,STB,,,FR,0
153,2010-05-08 09:24:07,STA,R_ weak plasma signatures_ downstream waves,SIR,FR,1
154,2010-05-15 01:19:02,STB,F_ waves at the shock,SIR,FF,1
155,2010-05-30 14:59:19,STA,F_ plasma signatures_ upstream waves,ICME,FF,1
156,2010-06-02 20:46:30,STB,R_ clear plasma signatures_ upstream waves,SIR,FR,1
157,2010-06-03 08:36:28,STA,F_ downstream waves_ plasma signatures,ICME,FF,1
158,2010-06-05 07:30:10,STA,R_ downstream waves_ plasma signatures,SIR,FR,1
159,2010-06-07 04:08:48,STB,F_ nice,ICME,FF,1
160,2010-06-11 04:41:28,STB,F_ upstream and downstream waves,SIR,FF,1
161,2010-06-12 04:59:20,STB,R_ clear plasma signatures,SIR,FR,1
162,2010-06-15 11:35:00,STA,,,FR,0
163,2010-06-30 05:45:00,STB,F_ clear plasma signatures_ upstream and downstream waves,a sharp bump in slow wind ~ 400 km/s,FF,1
164,2010-07-08 16:42:10,STB,F,SIR,,0
165,2010-08-02 15:31:00,STB,F_ upstream and downstream waves,13 hrs before ICME,FF,1
166,2010-08-03 05:00:54,STB,F_ nice and strong_ downstream waves,ICME,FF,1
167,2010-08-04 07:09:21,STB,R,fast wind overtaking ICME,FR,1
168,2010-08-11 09:31:47,STB,F_ a lot of B flucations downstream,SIR,FF,1
169,2010-08-12 05:48:24,STA,,,FR,0
170,2010-08-20 10:27:57,STB,R_ downstream waves_ plasma signatures,SIR,FR,1
171,2010-08-20 16:13:39,STA,F_ upstream and downstream waves_ clear plasma signatures,ICME,FF,1
172,2010-08-21 16:57:26,STA,R_ upstream waves_ weak plasma signatures,"3 hrs after an ICME, a faster solar wind overtaking the ICME",,0
173,2010-08-21 20:16:47,STB,,,FR,0
174,2010-09-07 08:29:06,STA,F_ upstream and downstream waves_ plasma signatures,ICME,FF,1
175,2010-09-10 18:17:58,STA,,,FF,0
176,2010-09-11 06:58:47,STA,F_ upstream and downstream waves_ plasma signatures,ICME,FF,1
177,2010-09-12 05:26:45,STB,F_ upstream waves last long,SIR,,0
178,2010-09-15 07:18:04,STB,F,"in slow wind, > 1 day of ICME",,0
179,2010-09-17 22:33:43,STA,F_ upstream waves_ plasma signatures,ICME,FF,1
180,2010-09-26 22:17:48,STB,,,FF,0
181,2010-09-28 07:16:37,STB,F_ B increases gradually; plasma signatures are clear; Vp increase is weak,a small bump in the slow wind (300 km/s),,0
182,2010-10-02 15:06:58,STA,,,FF,0
183,2010-10-31 10:04:13,STA,R_ upstream and downstream waves_ plasma signatures,SIR,FR,1
184,2010-11-07 19:05:05,STB,F_ downstream waves_ plasma signatures,SIR including an ICME,FF,1
185,2010-11-07 19:52:16,STB,,,FF,0
186,2010-11-16 19:25:53,STA,R_ downstream waves_ weak plasma signatures,SIR,FR,1
187,2010-11-19 20:26:00,STB,F_ upstream waves,ICME,FF,1
188,2010-12-04 00:10:21,STA,F_ upstream and downstream waves_ plasma signatures,SIR,FF,1
189,2010-12-14 17:15:32,STA,F_ downstream waves_ weak plasma signatures,ICME,FF,1
190,2010-12-29 11:24:11,STB,F_ plasma signatures,SIR,FF,1
191,2010-12-31 18:59:32,STB,,,FR,0
192,2011-01-12 22:36:35,STB,F_ downstream waves_ small Vp and Np increase_ no Tp increase,a small bump in the slow wind (320 km/s),FF,1
193,2011-01-17 15:46:06,STB,F_ plasma parameters increases are not prompt,ICME,FF,1
194,2011-01-17 18:31:00,STA,R_ waves in the transition region,"8 hrs after an ICME, caused by a fast wind ~ 530 km/s",FR,1
195,2011-01-23 17:06:03,STA,F_ upstream waves_ Vp and Np increase_ but Tp does not increase promptly,SIR,FF,1
196,2011-01-25 00:06:27,STA,R_ upstream waves (not sure of the origin)_ ICWs upstream_ field change is not very sharp_ changes of plasma parameters are not abrupt ,SIR,,0
197,2011-02-18 17:43:00,STA,F_ large-amplitude upstream waves of fs/c ~ 1.4 Hz_ increases of plasma parameters are small,a small Vp increase in slow wind ~ 350 km/s,,0
198,2011-02-26 08:29:19,STB,,,FF,0
199,2011-02-26 08:46:56,STB,,,FF,0
200,2011-03-06 13:38:03,STB,F_ upstream and downstream waves_ small increases of Vp and Np_ no increase of Tp,"a small bump in slow wind, 18 hrs before ICME",,0
201,2011-03-07 08:31:50,STB,F_ upstream waves_ clear plasma signatures,ICME,,0
202,2011-03-07 12:22:46,STB,F_ upstream and downstream waves_ prompt plasma signatures,ICME,FF,1
203,2011-03-09 06:47:40,STA,F_ no upstream or downstream waves_ clear plasma signatures,ICME,FF,1
204,2011-03-11 03:51:38,STB,,,FF,0
205,2011-03-19 11:24:39,STA,F_ upstream and downstream waves_ prominent plasma signatures,ICME,FF,1
206,2011-03-20 15:46:00,STB,,,FF,0
207,2011-03-20 17:17:24,STB,F_ increases of Vp and Np_ no increase of Tp,ICME,,0
208,2011-03-21 18:42:09,STB,F_ increase of Vp_ a small and transient increase of Tp_ sharp rise of B_ weak upstream waves,within ICME,FF,1
209,2011-03-22 03:57:37,STA,F_ large-amplitude upstream waves of fs/c ~ 1.5 Hz_ clear plasma parameters,ICME,FF,1
210,2011-03-22 18:21:06,STA,F_ strong field increase_ clear Vp_ Np_ Tp increases_ but there are holes of Np and Tp before it,ICME,FF,1
211,2011-03-28 08:53:45,STB,,,FF,0
212,2011-03-31 12:37:10,STA,R_ plasma signatures_ low frequency upstream waves_ a dip in B downstream_ bidirectional suprathermal electron flux upstream,SIR,FR,1
213,2011-03-31 23:38:51,STB,,,FF,0
214,2011-04-09 13:39:33,STA,R_ no upstream or downstream waves_ plasma data gap,"data gap, probably a SIR",,0
215,2011-04-11 12:08:00,STA,F_ downstream waves_ clear plasma signatures_ Vp increase lasts < 1hr,ICME,FF,1
216,2011-04-22 10:59:16,STA,F_ upstream and downstream waves_ weak plasma signatures,"just after an ICME, a faster solar wind",,0
217,2011-04-23 01:21:57,STB,F_ upstream waves_ B increases over 20 seconds_ small increases of Vp_ Np_ and Tp,11 hrs before SIR,,0
218,2011-04-24 11:07:21,STB,R_ upstream and downstream waves_ plasma data gap,SIR,FR,1
219,2011-05-07 11:32:53,STA,R_ clear plasma signatures_ sharp B decrease_ there are current sheets near the shock though,SIR,FR,1
220,2011-05-12 04:45:07,STB,F_ upstream and downstream waves_ clear plasma signatures,a sharp bump in the trailing part of fast wind ~ 450 km/s,FF,1
221,2011-06-01 07:25:26,STB,,,FF,0
222,2011-06-04 18:48:50,STA,R_ clear plasma signatures_ B decrease takes 2.5 seconds,SIR,FR,1
223,2011-06-05 18:59:00,STA,F_ clear plasma signatures,ICME,FF,1
224,2011-06-09 09:50:10,STB,F_ upstream waves of fs/c ~ 0.6 Hz_ small increases of Vp and Np_ Tp does not increase ,a small bump in the trailing part of fast wind ~ 450 km/s,,0
225,2011-06-09 22:40:53,STA,F_ weak plasma signatures_ upstream waves_ increase of suprathermal electron flux,SIR,,0
226,2011-06-10 06:42:59,STA,,,FF,0
227,2011-06-12 00:02:24,STA,R_ weak plasma signatures_ two B decreases separated by 16 s_ this is the 2nd one to match the time of plasma data,SIR,,0
228,2011-06-16 03:10:22,STA,F_ abrupt plasma changes_ upstream and downstream waves,SIR,FF,1
229,2011-06-16 19:36:23,STB,F_ small B increase_ clear plasma signatures,SIR,,0
230,2011-06-16 21:00:40,STB,,,FF,0
231,2011-06-17 02:12:23,STB,R_ downstream waves_ plasma signatures,SIR,FR,1
232,2011-06-18 13:49:10,STB,R_ upstream waves,fast wind catching up with an ICME,FR,1
233,2011-07-04 23:12:10,STB,F_ waves at the transition region,SIR-like small structure,FF,1
234,2011-07-12 03:47:04,STA,F_ abrupt plasma changes_ downstream waves_ a dip of B in 4 minutes ,ICME,FF,1
235,2011-07-19 18:45:57,STB,F_ sharp_ nice plasma signatures,SIR,FF,1
236,2011-07-23 09:41:09,STA,F_ clear plasma signatures_ upstream and downstream waves_ B decreased in 40 min,ICME,FF,1
237,2011-07-24 22:36:05,STA,R_ plasma signatures_ waves in upstream_ downstream_ and ramp,"11 hrs after ICME, faster solar wind of only about 440 km/s",FR,1
238,2011-08-06 12:42:39,STA,F,ICME,FF,1
239,2011-08-09 13:58:26,STB,,,FR,0
240,2011-08-11 05:38:57,STA,F,"unclear driver, because of DG",FF,1
241,2011-08-13 19:43:20,STA,F,ICME,FF,1
242,2011-08-20 21:51:46,STB,F_ nice upstream waves_ Tp decreases to pre-shock level after 10 min,ICME,FF,1
243,2011-08-27 02:03:36,STB,F_ weak_ downstream waves_ small Vp and Np increases_ Tp does not increase at the time,SIR,,0
244,2011-09-04 12:38:03,STB,F_ upstream whistler waves_ weak plasma signatures_ no Tp increase,6.5 hr before SIR,,0
245,2011-09-08 16:01:27,STA,F,ICME,FF,1
246,2011-09-08 23:45:02,STA,,,FF,0
247,2011-09-11 08:51:29,STA,F,faster wind overtaking preceding ICME,FF,1
248,2011-09-14 22:06:27,STB,,,FF,0
249,2011-09-19 13:35:47,STA,,,FF,0
250,2011-09-21 01:26:55,STB,F_ very close to another shock,SIR+ICME,,0
251,2011-09-21 01:27:12,STB,F_ weak plasma signatures_ 2 B increases 17-s separated,SIR+ICME,FF,1
252,2011-09-21 22:35:45,STA,F,"unclear driver, in the trailing part of a SIR, followed by a faster wind although of only 400 km/s",,0
253,2011-09-24 08:30:40,STA,F,ICME,FF,1
254,2011-09-24 09:06:10,STB,F_ waves upstream and downstream_ gradual B increase_ weak plasma signatures_ no Tp increase,ICME,FF,1
255,2011-09-28 03:54:29,STA,F,SIR,FF,1
256,2011-10-02 06:53:15,STA,F,ICME,FF,1
257,2011-10-03 02:28:25,STA,F,ICME,FF,1
258,2011-10-03 11:48:17,STB,F_ plasma signatures_ upstream and downstream waves_ gradual B increase_ and close to a currrent sheet ,"ICME, but over 10 hrs ahead",,0
259,2011-10-03 22:23:25,STB,F_ prominent plasma signatures_ upstream and downstream waves_ current sheets near by ,ICME,FF,1
260,2011-10-06 03:55:07,STA,F,in slow wind,FF,1
261,2011-10-07 11:26:41,STB,F_ clear plasma signatures_ upstream waves of about 2 Hz,ICME,FF,1
262,2011-10-07 17:15:23,STA,F,SIR,,0
263,2011-10-18 02:03:10,STB,,,FF,0
264,2011-10-18 19:20:10,STB,F_ clear plasma signatures_ upstream and downstream waves,ICME,FF,1
265,2011-10-23 20:59:00,STA,F,in slow wind,FF,1
266,2011-10-25 04:51:14,STA,F,ICME,FF,1
267,2011-11-01 02:19:55,STB,R_ small changes of plasma parameters_ gradual B decrease_ some upstream waves,"a faster wind overtaking, half a day after ICME",FR,1
268,2011-11-02 22:07:39,STB,F_ clear plasma signatures_ sharp B change_ upstream and downstream waves,in the slow wind,FF,1
269,2011-11-05 21:12:09,STA,F,SIR,FF,1
270,2011-11-06 05:10:45,STB,F_ plasma signatures_ upstream and downstream waves_ gradual B increase_ and close to a currrent sheet ,ICME,FF,1
271,2011-11-06 12:35:14,STA,R,SIR,FR,1
272,2011-11-13 00:47:48,STB,,,FF,0
273,2011-11-17 02:03:15,STB,F_ plasma signatures_ after 8 min of the shock_ B increases and there is a current sheet,"in slow wind, >3 days ahead of ICME",FF,1
274,2011-11-18 03:29:43,STB,F_ plasma signatures although they are small changes_ B increase is sharp_ B decreases after 20 minutes ,"in slow wind, >2 days ahead of ICME",,0
275,2011-11-19 07:42:41,STB,F_ prominent plasma signatures_ upstream and downstream waves_ a small current sheet crossing at the shock,>1 day ahead of ICME,FF,1
276,2011-11-20 13:38:42,STB,F_ prominent plasma signatures_ nice downstream waves ,ICME,FF,1
277,2011-11-20 21:50:23,STA,R,SIR,FR,1
278,2011-11-23 17:35:05,STA,R,SIR,FR,1
279,2011-11-25 21:39:03,STA,F,ICME,FF,1
280,2011-11-26 18:09:24,STA,F,ICME,FF,1
281,2011-11-28 09:09:15,STA,,,FF,0
282,2011-11-28 14:51:25,STA,F,ICME,FF,1
283,2011-12-02 16:03:59,STB,F_ prominent plasma signatures_ upstream and downstream waves,ICME,FF,1
284,2011-12-06 22:43:30,STA,,,FF,0
285,2011-12-08 00:37:58,STA,,,FF,0
286,2011-12-12 03:47:21,STA,R,SIR,,0
287,2011-12-13 04:52:19,STB,R_ clear plasma signatures_ upstream and downstream waves,SIR,FR,1
288,2011-12-17 02:05:07,STA,F,SIR,FF,1
289,2011-12-19 17:27:36,STA,,,FF,0
290,2011-12-21 00:30:00,STA,R,SIR,FR,1
291,2011-12-21 09:27:28,STA,F,ICME,FF,1
292,2011-12-26 23:50:46,STB,F_ clear plasma signatures_ short upstream and downstream waves,ICME+SIR,,0
293,2011-12-28 01:28:46,STA,F,SIR,FF,1
294,2011-12-28 20:47:09,STA,R,SIR,FR,1
295,2012-01-01 13:22:21,STA,F,ICME,FF,1
296,2012-01-04 16:40:40,STA,F_ weak plasma signatures,SIR (embedded ICME starts 29 hr after the shock),FF,1
297,2012-01-06 12:13:14,STB,F_ plasma signatures_ large-amplitude waves upstream and at the ramp,SIR,,0
298,2012-01-16 09:49:15,STB,F_ prominent plasma signatures_ a B dip after the ramp,ICME,FF,1
299,2012-01-19 01:46:01,STB,F_ plasma signatures_ weak upstream waves_ strong downstream waves,ICME,FF,1
300,2012-01-23 01:07:00,STA,F,SIR,FF,1
301,2012-01-29 02:13:36,STA,F,ICME,FF,1
302,2012-01-29 05:48:40,STA,,,FF,0
303,2012-01-29 13:04:18,STA,F,ICME,FF,1
304,2012-01-30 11:07:52,STB,F_ plasma signatures except little Tp increase,ICME,FF,1
305,2012-02-03 05:46:37,STB,F_ plasma signatures_ sharp B increase_ downstream waves,SIR,FF,1
306,2012-02-03 15:20:48,STB,R_ plasma signatures except nearly constant Tp with a data spike_ B decrease is gradual_ change in suparthermal electron flux too,SIR,FR,1
307,2012-02-08 18:09:36,STB,F_ plasma signatures except no Tp increase_ B increase is gradual_ clear change in suprathermal electron flux,20 hrs ahead of SIR,FF,1
308,2012-02-19 20:52:04,STA,F,in slow wind,FF,1
309,2012-02-20 10:27:40,STB,F_ weak plasma signatures_ B increase is gradual,SIR,,0
310,2012-02-20 19:17:48,STA,F,"SIR+ICME (ICME embedded, 10 hr after the shock)",FF,1
311,2012-02-28 23:20:13,STA,R,SIR,FR,1
312,2012-03-01 20:24:55,STA,,,FF,0
313,2012-03-07 18:14:00,STB,F_ plasma signatures_ change in suprathermal electron flux_ strong upstream waves last long_ probably whistlers,SIR,FF,1
314,2012-03-07 18:25:36,STB,,,FF,0
315,2012-03-08 13:36:43,STB,F_ prominent plasma signatures_ strong waves at the ramp,ICME,,0
316,2012-03-10 21:17:12,STB,F_ prominent plasma signatures_ change of suprathermal electron flux_ B dip in 10 min_ waves at ramp and downstream ,ICME,FF,1
317,2012-03-14 06:51:37,STA,F,SIR,FF,1
318,2012-03-15 22:32:31,STA,F,ICME,FF,1
319,2012-03-18 15:03:40,STA,F_ weak plasma signatures,ICME,,0
320,2012-03-18 19:30:46,STA,F,ICME,FF,1
321,2012-03-19 19:17:44,STA,F,ICME,FF,1
322,2012-03-23 10:14:42,STA,F_ Vp and Tp do not have clear increases_ slight Np increase_ prominent B increase,in the trailing part of fast wind,,0
323,2012-03-23 19:07:15,STA,F,in slow wind V ~ 400 km/s,FF,1
324,2012-03-26 09:59:34,STA,F,in fast wind V ~ 450 km/s,FF,1
325,2012-03-26 16:30:30,STB,F_ prominent plasma signatures,ICME,FF,1
326,2012-03-28 21:37:32,STB,F_ plasma data changes are gradual_ sharp increase of suprathermal electron flux_ downstream waves,ICME,FF,1
327,2012-03-30 08:27:33,STB,,,FR,0
328,2012-04-03 20:47:13,STA,F_ mirror mode storms 7 min after the shock,15 hr before the start of a SIR,,0
329,2012-04-04 10:40:11,STA,F,SIR,,0
330,2012-04-11 07:23:18,STA,,,FF,0
331,2012-04-11 18:59:55,STB,,,FF,0
332,2012-04-16 04:53:38,STB,,,FR,0
333,2012-04-17 03:36:38,STB,F_ prominent plasma signatures_ change of suprathermal electron flux_ upstream and downstream waves,ICME,FF,1
334,2012-04-18 11:01:00,STB,F_ weak plasma signatures_ B increase is gradual_ waves at the ramp,"in fast wind, after ICME, no clear driver",FF,1
335,2012-04-19 05:18:48,STB,F_ plasma signatures_ Np decreases in 20 min_ a short B dip downstream,a jump in the trailing part of fast wind,FF,1
336,2012-05-07 01:06:58,STB,F_ clear plasma signatures_ increase of suprathermal electron flux_ sharp B increase,"SIR with an ICME embedded, the ICME starts more than one day after the shock",FF,1
337,2012-05-07 03:33:42,STB,F_ prominent plasma signatures_ 2 hrs after the previous shock_ enhanced suprathermal electron flux_ upstream and downstream waves,"SIR with an ICME embedded, the ICME starts more than one day after the shock",FF,1
338,2012-05-08 07:21:03,STB,,,FF,0
339,2012-05-08 14:55:13,STB,F_ prominent plasma signatures_ upstream waves,ICME embedded within a SIR,,0
340,2012-05-08 14:55:18,STB,F_ downstream waves_ 5 s after the previous f.s. ,ICME embedded within a SIR,FF,1
341,2012-05-12 23:08:30,STB,F_ plasma signatures_ nice upstream and downstream waves,ICME,FF,1
342,2012-05-18 12:43:18,STA,F,ICME,FF,1
343,2012-05-20 12:14:45,STB,F_ plasma signatures_ whistlers upstream and at the ramp,in the middle of SIR,FF,1
344,2012-05-24 01:00:21,STA,F,ICME,FF,1
345,2012-05-28 02:48:40,STA,F,ICME,FF,1
346,2012-05-28 19:53:47,STA,R,"trailing edge of ICME, probably due to overtaking of the following fast wind",,0
